idx_type,op_type,skew,batch_size,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_pim,energy_cpu,energy_comm,energy_pim
range_partitioning,micro_insert,1.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,0.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,0.2,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,0.4,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,0.6,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,0.8,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_delete,1.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,0.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,0.2,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,0.4,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,0.6,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,0.8,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_scan,1.0,1000000,True,False,False,False,0,,,,,,,,
pim_tree,wiki_predecessor,0.0,1000000,True,True,False,False,0,0,0,,,,,,
pim_tree,wiki_predecessor,1.0,1000000,True,True,False,False,0,0,0,,,,,,
pim_tree,wiki_insert,0.0,1000000,True,True,False,False,0,0,0,,,,,,
pim_tree,wiki_insert,1.0,1000000,True,True,False,False,0,0,0,,,,,,
ab-tree,wiki_predecessor,0.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
ab-tree,wiki_predecessor,1.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
ab-tree,wiki_insert,0.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
ab-tree,wiki_insert,1.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
bst,wiki_predecessor,0.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
bst,wiki_predecessor,1.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
bst,wiki_insert,0.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
bst,wiki_insert,1.0,1000000,True,True,False,False,nan,nan,nan,,,,,,
pim_tree,ycsb_A,0.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_A,1.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_B,0.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_B,1.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_C,0.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_C,1.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_D,0.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_D,1.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_E,0.0,1000000,True,False,False,False,nan,,,,,,,,
pim_tree,ycsb_E,1.0,1000000,True,False,False,False,nan,,,,,,,,
