idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
range_partitioning,micro_insert,0.6,1000000,100000000,,True,False,False,False,1842441.7512040357,,,,,,,,,
range_partitioning,micro_insert,0.8,1000000,100000000,,True,False,False,False,687219.0991932048,,,,,,,,,
range_partitioning,micro_insert,1.0,1000000,100000000,,True,False,False,False,312822.5983045015,,,,,,,,,
range_partitioning,micro_insert,1.2,1000000,100000000,,True,False,False,False,fail,,,,,,,,,
range_partitioning,micro_delete,0.0,1000000,100000000,,True,False,False,False,64473285.494155504,,,,,,,,,
range_partitioning,micro_delete,0.2,1000000,100000000,,True,False,False,False,42655382.89604457,,,,,,,,,
range_partitioning,micro_delete,0.4,1000000,100000000,,True,False,False,False,18612373.13341163,,,,,,,,,
range_partitioning,micro_delete,0.6,1000000,100000000,,True,False,False,False,7435662.9265282145,,,,,,,,,
range_partitioning,micro_delete,0.8,1000000,100000000,,True,False,False,False,3396600.6820374173,,,,,,,,,
range_partitioning,micro_delete,1.0,1000000,100000000,,True,False,False,False,1858698.0563594424,,,,,,,,,
range_partitioning,micro_delete,1.2,1000000,100000000,,True,False,False,False,1206394.857862558,,,,,,,,,
range_partitioning,micro_scan,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,0.2,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,0.4,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,0.6,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,0.8,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_scan,1.2,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,wiki_predecessor,1.0,2000000,200000000,,True,True,False,False,22715321.370687924,355.744,40.20666368,,,,,,,
