idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
range_partitioning,micro_insert,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,36699806.59,,,,,,,,,
range_partitioning,micro_insert,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,16636803.6,,,,,,,,,
range_partitioning,micro_insert,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5548588.994,,,,,,,,,
range_partitioning,micro_insert,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1842441.751,,,,,,,,,
range_partitioning,micro_insert,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,687219.0992,,,,,,,,,
range_partitioning,micro_insert,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,312822.5983,,,,,,,,,
range_partitioning,micro_insert,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,fail,,,,,,,,,
range_partitioning,micro_delete,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,64473285.49,,,,,,,,,
range_partitioning,micro_delete,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,42655382.9,,,,,,,,,
range_partitioning,micro_delete,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,18612373.13,,,,,,,,,
range_partitioning,micro_delete,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,7435662.927,,,,,,,,,
range_partitioning,micro_delete,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,3396600.682,,,,,,,,,
range_partitioning,micro_delete,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1858698.056,,,,,,,,,
range_partitioning,micro_delete,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1206394.858,,,,,,,,,
range_partitioning,micro_scan,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,54146835.39,,,,,,,,,
range_partitioning,micro_scan,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,45489903.52,,,,,,,,,
range_partitioning,micro_scan,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,22419011.32,,,,,,,,,
range_partitioning,micro_scan,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,8387713.677,,,,,,,,,
range_partitioning,micro_scan,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,3573943.096,,,,,,,,,
